"created_date","modified_date","stage_pk","stage_name","stage_type","stage_slug","tournament_id"
2023-10-21 23:38:30.318 -0600,2023-10-21 23:38:30.318 -0600,136,Playoffs,,playoffs,65
2023-10-21 23:38:30.377 -0600,2023-10-21 23:38:30.377 -0600,137,Regular Season,,regular_season,66
2023-10-21 23:38:34.936 -0600,2023-10-21 23:38:34.936 -0600,138,Playoffs,,playoffs,66
2023-10-21 23:38:35.036 -0600,2023-10-21 23:38:35.036 -0600,139,Regional Qualifier,,regionals,66
2023-10-21 23:38:35.108 -0600,2023-10-21 23:38:35.108 -0600,140,Regular Season,,regular_season,67
2023-10-21 23:38:35.673 -0600,2023-10-21 23:38:35.673 -0600,141,Playoffs,,playoffs,67
2023-10-21 23:38:35.745 -0600,2023-10-21 23:38:35.745 -0600,142,Regular Season,,regular_season,68
2023-10-21 23:38:36.548 -0600,2023-10-21 23:38:36.548 -0600,143,Playoffs,,playoffs,68
2023-10-21 23:38:36.593 -0600,2023-10-21 23:38:36.593 -0600,144,knockouts,,knockouts,69
2023-10-21 23:38:36.936 -0600,2023-10-21 23:38:36.936 -0600,145,Regular Season,,regular_season,70
2023-10-21 23:38:39.815 -0600,2023-10-21 23:38:39.815 -0600,146,Playoffs,,playoffs,70
2023-10-21 23:38:40.032 -0600,2023-10-21 23:38:40.032 -0600,147,Round 1,,round_1,71
2023-10-21 23:38:40.414 -0600,2023-10-21 23:38:40.414 -0600,148,Round 2,,round_2,71
2023-10-21 23:38:40.700 -0600,2023-10-21 23:38:40.700 -0600,149,Playoffs,,playoffs,71
2023-10-21 23:38:40.821 -0600,2023-10-21 23:38:40.821 -0600,150,Regular Season,,regular_season,72
2023-10-21 23:38:41.898 -0600,2023-10-21 23:38:41.898 -0600,151,Playoffs,,playoffs,72
2023-10-21 23:38:41.986 -0600,2023-10-21 23:38:41.986 -0600,152,Round 1,,round_1,73
2023-10-21 23:38:42.531 -0600,2023-10-21 23:38:42.531 -0600,153,Round 2,,round_2,73
2023-10-21 23:38:42.908 -0600,2023-10-21 23:38:42.908 -0600,154,knockouts,,knockouts,73
2023-10-21 23:38:42.947 -0600,2023-10-21 23:38:42.947 -0600,155,Regular Season,,regular_season,74
2023-10-21 23:38:43.964 -0600,2023-10-21 23:38:43.964 -0600,156,Playoffs,,playoffs,74
2023-10-21 23:38:44.004 -0600,2023-10-21 23:38:44.004 -0600,157,Regular Season,,regular_season,75
2023-10-21 23:38:45.250 -0600,2023-10-21 23:38:45.250 -0600,158,Playoffs,,playoffs,75
2023-10-21 23:38:45.320 -0600,2023-10-21 23:38:45.320 -0600,159,Groups,,groups,76
2023-10-21 23:38:45.555 -0600,2023-10-21 23:38:45.555 -0600,160,knockouts,,knockouts,76
2023-10-21 23:38:45.638 -0600,2023-10-21 23:38:45.638 -0600,161,Regular Season,,regular_season,77
2023-10-21 23:38:46.686 -0600,2023-10-21 23:38:46.686 -0600,162,Playoffs,,playoffs,77
2023-10-21 23:38:46.756 -0600,2023-10-21 23:38:46.756 -0600,163,Regular Season,,regular_season,78
2023-10-21 23:38:48.224 -0600,2023-10-21 23:38:48.224 -0600,164,Playoffs,,playoffs,78
2023-10-21 23:38:48.436 -0600,2023-10-21 23:38:48.436 -0600,165,Regular Season,,regular_season,79
2023-10-21 23:38:49.561 -0600,2023-10-21 23:38:49.561 -0600,166,Playoffs,,playoffs,79
2023-10-21 23:38:49.646 -0600,2023-10-21 23:38:49.646 -0600,167,Groups,,groups,80
2023-10-21 23:38:49.986 -0600,2023-10-21 23:38:49.986 -0600,168,Playoffs,,playoffs,80
2023-10-21 23:38:50.118 -0600,2023-10-21 23:38:50.118 -0600,169,Regular Season,,regular_season,81
2023-10-21 23:38:51.034 -0600,2023-10-21 23:38:51.034 -0600,170,Playoffs,,playoffs,81
2023-10-21 23:38:51.103 -0600,2023-10-21 23:38:51.103 -0600,171,Regular Season,,regular_season,82
2023-10-21 23:38:52.467 -0600,2023-10-21 23:38:52.467 -0600,172,Playoffs,,playoffs,82
2023-10-21 23:38:52.659 -0600,2023-10-21 23:38:52.659 -0600,173,Regular Season,,regular_season,83
2023-10-21 23:38:53.691 -0600,2023-10-21 23:38:53.691 -0600,174,Playoffs,,playoffs,83
2023-10-21 23:38:53.759 -0600,2023-10-21 23:38:53.759 -0600,175,Regular Season,,regular_season,84
2023-10-21 23:38:55.918 -0600,2023-10-21 23:38:55.918 -0600,176,Playoffs,,playoffs,84
2023-10-21 23:38:56.020 -0600,2023-10-21 23:38:56.020 -0600,177,Regular Season,,regular_season,85
2023-10-21 23:38:57.140 -0600,2023-10-21 23:38:57.140 -0600,178,Playoffs,,playoffs,85
2023-10-21 23:38:57.213 -0600,2023-10-21 23:38:57.213 -0600,179,Regular Season,,regular_season,86
2023-10-21 23:38:57.758 -0600,2023-10-21 23:38:57.758 -0600,180,Groups,,groups,86
2023-10-21 23:38:57.900 -0600,2023-10-21 23:38:57.900 -0600,181,Playoffs,,playoffs,86
2023-10-21 23:38:57.968 -0600,2023-10-21 23:38:57.968 -0600,182,Round 1,,round_1,87
2023-10-21 23:38:58.490 -0600,2023-10-21 23:38:58.490 -0600,183,Playoffs,,playoffs,87
2023-10-21 23:38:58.700 -0600,2023-10-21 23:38:58.700 -0600,184,Regular Season,,regular_season,88
2023-10-21 23:38:59.502 -0600,2023-10-21 23:38:59.502 -0600,185,Playoffs,,playoffs,88
2023-10-21 23:38:59.534 -0600,2023-10-21 23:38:59.534 -0600,186,Regular Season,,regular_season,89
2023-10-21 23:39:01.046 -0600,2023-10-21 23:39:01.046 -0600,187,Playoffs,,playoffs,89
2023-10-21 23:39:01.161 -0600,2023-10-21 23:39:01.161 -0600,188,Regular Season,,regular_season,90
2023-10-21 23:39:02.351 -0600,2023-10-21 23:39:02.351 -0600,189,Playoffs,,playoffs,90
2023-10-21 23:39:02.425 -0600,2023-10-21 23:39:02.425 -0600,190,Play In Groups,,play_in_groups,91
2023-10-21 23:39:02.929 -0600,2023-10-21 23:39:02.929 -0600,191,Play In Knockouts,,play_in_elim,91
2023-10-21 23:39:02.990 -0600,2023-10-21 23:39:02.990 -0600,192,Groups,,groups,91
2023-10-21 23:39:03.789 -0600,2023-10-21 23:39:03.789 -0600,193,knockouts,,knockouts,91
2023-10-21 23:39:03.923 -0600,2023-10-21 23:39:03.923 -0600,194,Groups,,groups,92
2023-10-21 23:39:04.482 -0600,2023-10-21 23:39:04.482 -0600,195,knockouts,,knockouts,92
2023-10-21 23:39:04.518 -0600,2023-10-21 23:39:04.518 -0600,196,Playoffs,,playoffs,92
2023-10-21 23:39:04.555 -0600,2023-10-21 23:39:04.555 -0600,197,Regular Season,,regular_season,93
2023-10-21 23:39:06.648 -0600,2023-10-21 23:39:06.648 -0600,198,Playoffs,,playoffs,93
2023-10-21 23:39:06.750 -0600,2023-10-21 23:39:06.750 -0600,199,Promotion Series,,promotion_series,93
2023-10-21 23:39:06.826 -0600,2023-10-21 23:39:06.826 -0600,200,Regular Season,,regular_season,94
2023-10-21 23:39:07.913 -0600,2023-10-21 23:39:07.913 -0600,201,Playoffs,,playoffs,94
2023-10-21 23:39:08.008 -0600,2023-10-21 23:39:08.008 -0600,202,Regular Season,,regular_season,95
2023-10-21 23:39:08.453 -0600,2023-10-21 23:39:08.453 -0600,203,Playoffs,,playoffs,95
